,name,alias,cats
0,Monkeypod Kitchen,monkeypod-kitchen-honolulu-3,"['Tacos', 'Pizza', 'Cocktail Bars']"
1,Deck.,deck-honolulu,"['Hawaiian', 'Cocktail Bars', 'Seafood']"
2,Duke's Waikiki,dukes-waikiki-honolulu-2,"['Hawaiian', 'Seafood', 'Cocktail Bars']"
3,Hula Grill Waikiki,hula-grill-waikiki-honolulu-3,"['Hawaiian', 'Seafood', 'Breakfast & Brunch']"
4,Basalt,basalt-honolulu,"['New American', 'Bars', 'Breakfast & Brunch']"
5,YogurStory,yogurstory-honolulu-4,"['Pancakes', 'Waffles', 'Hawaiian']"
6,Musubi Cafe Iyasume,musubi-cafe-iyasume-honolulu-24,"['Japanese', 'Hawaiian', 'Fast Food']"
7,Helena's Hawaiian Food,helenas-hawaiian-food-honolulu,['Hawaiian']
8,Hau Tree,hau-tree-honolulu-3,"['Seafood', 'Hawaiian']"
9,Ginza Bairin Tonkatsu & Yoshoku Bistro,ginza-bairin-tonkatsu-and-yoshoku-bistro-honolulu-5,"['Japanese', 'Diners', 'Bars']"
10,Nico's Pier 38,nicos-pier-38-honolulu-2,"['Seafood', 'American', 'Bars']"
11,Marugame Udon,marugame-udon-honolulu-15,"['Japanese', 'Noodles', 'Soup']"
12,Rainbow Drive-In,rainbow-drive-in-honolulu,"['Hawaiian', 'Fast Food', 'Breakfast & Brunch']"
13,Fete,fete-honolulu-6,"['New American', 'Cocktail Bars', 'Sandwiches']"
14,Hideout,hideout-honolulu-14,"['Bars', 'Breakfast & Brunch', 'Hawaiian']"
15,Aloha Kitchen,aloha-kitchen-honolulu,['Breakfast & Brunch']
16,Sweet E's Cafe,sweet-es-cafe-honolulu-4,"['Cafes', 'Breakfast & Brunch', 'Sandwiches']"
17,Café Kaila,café-kaila-honolulu-3,"['Breakfast & Brunch', 'Cafes', 'Hawaiian']"
18,Maguro Brothers Hawaii,maguro-brothers-hawaii-honolulu-8,"['Japanese', 'Poke', 'Seafood']"
19,Heavenly Island Lifestyle - Waikiki,heavenly-island-lifestyle-waikiki-honolulu-5,"['Breakfast & Brunch', 'Hawaiian', 'Cocktail Bars']"
20,Rice Box Cafe,rice-box-cafe-mililani,"['Japanese', 'Salad', 'Chicken Shop']"
21,The Clubhouse,the-clubhouse-mililani,"['Sushi Bars', 'Bars', 'Breakfast & Brunch']"
22,Rise and Shine Cafe,rise-and-shine-cafe-mililani-3,"['Breakfast & Brunch', 'Sandwiches', 'Desserts']"
23,Mililani Bar-B-Q,mililani-bar-b-q-mililani,"['Korean', 'Barbeque']"
24,604 Clubhouse,604-clubhouse-wahiawa,['New American']
25,Mililani Restaurant,mililani-restaurant-mililani,"['Hawaiian', 'Noodles']"
26,Maile Chinese Restaurant,maile-chinese-restaurant-mililani,['Chinese']
27,Ba-Le Sandwich Shop,ba-le-sandwich-shop-mililani-2,"['Vietnamese', 'Sandwiches']"
28,Rakumen,rakumen-mililani,"['Japanese', 'Chinese', 'Bubble Tea']"
29,Thai Village,thai-village-mililani,['Thai']
30,Roll Creperie,roll-creperie-mililani,"['Creperies', 'Desserts', 'Breakfast & Brunch']"
31,Tasty Jerky Hawaii,tasty-jerky-hawaii-mililani-2,"['Specialty Food', 'Gluten-Free']"
32,Nagoya Ramen,nagoya-ramen-mililani,"['Ramen', 'Noodles', 'Bakeries']"
33,Po Sing Kitchen,po-sing-kitchen-mililani,"['Chinese', 'Barbeque']"
34,Del-icious Burgers,del-icious-burgers-mililani,"['Food Trucks', 'Burgers']"
35,Tasty Korean BBQ,tasty-korean-bbq-mililani-2,['Korean']
36,Saito & Pho Restaurant III,saito-and-pho-restaurant-iii-mililani,"['Japanese', 'Vietnamese']"
37,IHOP,ihop-mililani-2,"['Breakfast & Brunch', 'Burgers', 'American']"
38,Sakura,sakura-mililani-6,"['Sushi Bars', 'Teppanyaki']"
39,Assaggio,assaggio-mililani-2,['Italian']
40,Elena's Filipino Lunchwagon - Mililani Tech,elenas-filipino-lunchwagon-mililani-tech-mililani-5,"['Filipino', 'Food Trucks']"
41,The Shack - Mililani,the-shack-mililani-mililani-7,"['Sports Bars', 'American']"
42,Flyin' Ahi,flyin-ahi-mililani-3,"['Food Trucks', 'Caterers', 'Seafood']"
43,Gyu-Kaku Japanese BBQ,gyu-kaku-japanese-bbq-mililani-3,"['Japanese', 'Barbeque', 'Asian Fusion']"
44,Blazin Steaks,blazin-steaks-mililani,"['Steakhouses', 'Fast Food']"
45,Steak and Shrimp,steak-and-shrimp-mililani,"['Steakhouses', 'Fast Food', 'Hawaiian']"
46,Surf N Salsa,surf-n-salsa-waialua,"['Mexican', 'Food Trucks']"
47,Taps & Apps,taps-and-apps-mililani,"['New American', 'Brewpubs']"
48,Poke Stop,poke-stop-mililani,"['Hawaiian', 'Poke']"
49,Scoopers Lunch Wagon,scoopers-lunch-wagon-mililani,"['Food Trucks', 'American']"
50,Aloha Salads,aloha-salads-mililani-4,"['Salad', 'Wraps', 'Sandwiches']"
51,Shige's Saimin Stand,shiges-saimin-stand-wahiawa,"['Japanese', 'Noodles', 'Burgers']"
52,Da Burger Wing Hub,da-burger-wing-hub-wahiawa,"['Burgers', 'Chicken Wings', 'Sports Bars']"
53,Barrio Cafe,barrio-cafe-wahiawa-2,"['Mexican', 'Caterers']"
54,Banzai Bento,banzai-bento-waipahu,['Japanese']
55,Mandy's Munchies,mandys-munchies-mililani,"['Food Stands', 'Custom Cakes']"
56,3 Ladles,3-ladles-mililani,['Soup']
57,Guieb Cafe,guieb-cafe-wahiawa,"['Breakfast & Brunch', 'Cafes', 'New American']"
58,Ninja Sushi Mililani,ninja-sushi-mililani-mililani,"['Japanese', 'Sushi Bars', 'Seafood']"
59,Pho King,pho-king-wahiawa,['Vietnamese']
60,Totoya,totoya-aiea,"['Japanese', 'Seafood']"
61,Sub Shack,sub-shack-wahiawa,['Sandwiches']
62,HI Sliders,hi-sliders-mililani-2,"['Food Trucks', 'Burgers', 'Tacos']"
63,Taqueria El Ranchero,taqueria-el-ranchero-wahiawa,['Mexican']
64,California Pizza Kitchen,california-pizza-kitchen-mililani-11,"['Pizza', 'New American', 'Salad']"
65,Ohana Sub,ohana-sub-wahiawā-3,"['Delis', 'Sandwiches']"
66,Tanaka Ramen & Izakya,tanaka-ramen-and-izakya-mililani,"['Ramen', 'Izakaya']"
67,Pomaikai's Onolicious,pomaikais-onolicious-mililani,"['Food Trucks', 'Filipino']"
68,Sushi Man - Mililani,sushi-man-mililani-mililani,['Sushi Bars']
69,Raising Cane's Chicken Fingers,raising-canes-mililani,"['Chicken Shop', 'Fast Food']"
70,Broke Da Mouth Grindz - Kapolei,broke-da-mouth-grindz-kapolei-kapolei-3,"['Filipino', 'Hawaiian']"
71,Monkeypod Kitchen,monkeypod-kitchen-kapolei,"['Hawaiian', 'Cocktail Bars', 'Pizza']"
72,Shabuya,shabuya-kapolei-2,"['Japanese', 'Hot Pot']"
73,DB Grill,db-grill-kapolei-3,"['New American', 'Cocktail Bars', 'Asian Fusion']"
74,Mahi’ai Table,mahi-ai-table-kapolei-3,"['Cocktail Bars', 'Pizza', 'Burgers']"
75,My Cafe,my-cafe-kapolei-2,"['Breakfast & Brunch', 'Cafes', 'Salad']"
76,Gina's Kapolei,ginas-kapolei-kapolei,"['Barbeque', 'Korean', 'Soup']"
77,Roy's Ko Olina,roys-ko-olina-kapolei-5,"['Asian Fusion', 'Seafood', 'Hawaiian']"
78,Moani Island Bistro & Bar,moani-island-bistro-and-bar-kapolei,"['Bars', 'Hawaiian']"
79,Kalapawai Cafe & Deli - Kapolei,kalapawai-cafe-and-deli-kapolei-kapolei-3,"['Cafes', 'Delis', 'Bars']"
80,Curry House CoCo Ichibanya,curry-house-coco-ichibanya-kapolei,['Japanese Curry']
81,Sushi Bay,sushi-bay-kapolei,['Sushi Bars']
82,Island Vintage Coffee,island-vintage-coffee-kapolei-8,"['Coffee & Tea', 'Breakfast & Brunch', 'Hawaiian']"
83,Da Crawfish and Crabshack,da-crawfish-and-crabshack-kapolei-2,"['Seafood', 'Cajun/Creole', 'Burgers']"
84,Aunty’s Hotpot House,aunty-s-hotpot-house-kapolei,"['Hot Pot', 'Desserts', 'Taiwanese']"
85,Tanaka Ramen & Izakaya,tanaka-ramen-and-izakaya-kapolei-2,"['Ramen', 'Izakaya']"
86,Village Bottle Shop & Tasting Room,village-bottle-shop-and-tasting-room-kapolei,"['Burgers', 'Beer Bar', 'Beer Gardens']"
87,Supa Thai,supa-thai-kapolei-3,"['Thai', 'Desserts', 'Salad']"
88,Eggs 'n Things,eggs-n-things-kapolei,"['American', 'Breakfast & Brunch', 'Burgers']"
89,Waka Sakura Sushi Restaurant,waka-sakura-sushi-restaurant-kapolei,['Sushi Bars']
90,Mina's Fish House,minas-fish-house-kapolei-5,['Seafood']
91,Pho & Company,pho-and-company-kapolei-14,"['Vietnamese', 'Noodles', 'Seafood']"
92,Doraku Sushi Kapolei,doraku-sushi-kapolei-kapolei,"['Sushi Bars', 'Japanese']"
93,Noe,noe-kapolei-5,['Italian']
94,Best Side Pies,best-side-pies-kapolei-4,['Pizza']
95,La Hiki,la-hiki-kapolei-3,"['Breakfast & Brunch', 'New American']"
96,La Tour Cafe,la-tour-cafe-kapolei-2,"['Macarons', 'Sandwiches', 'Cafes']"
97,Thai Lao Restaurant,thai-lao-restaurant-kapolei,"['Thai', 'Laotian']"
98,Longhi's,longhis-kapolei-2,"['Seafood', 'Breakfast & Brunch', 'Cocktail Bars']"
99,Julie'Z Restaurant,juliez-restaurant-kapolei,"['Filipino', 'Seafood', 'Breakfast & Brunch']"
100,Kazoku Sushi,kazoku-sushi-kapolei,"['Sushi Bars', 'Japanese']"
101,Mekiko Cantina,mekiko-cantina-kapolei,['Tacos']
102,Chief's Luau,chiefs-luau-kapolei,"['Performing Arts', 'Hawaiian', 'Dinner Theater']"
103,My Ohana's BBQ,my-ohanas-bbq-kapolei,"['Food Trucks', 'Barbeque']"
104,West Emperor,west-emperor-kapolei,['Dim Sum']
105,Chun Wah Kam Noodle Factory,chun-wah-kam-noodle-factory-kapolei,"['Chinese', 'Noodles']"
106,Gyu-Kaku Japanese BBQ,gyu-kaku-japanese-bbq-kapolei,"['Barbeque', 'Japanese', 'Asian Fusion']"
107,808 Craft House,808-craft-house-kapolei,"['Hawaiian', 'Cocktail Bars', 'Burgers']"
108,Pho H&H Vietnamese & Japanese Restaurant,pho-h-and-h-vietnamese-and-japanese-restaurant-kapolei,"['Vietnamese', 'Japanese', 'Soup']"
109,Taqueria el Ranchero - Kapolei,taqueria-el-ranchero-kapolei-kapolei-3,['Mexican']
110,Aloha Salads,aloha-salads-kapolei,"['Sandwiches', 'Salad', 'Wraps']"
111,En Fuego Grill,en-fuego-grill-kapolei,"['Hawaiian', 'Asian Fusion', 'Burgers']"
112,Koa Pancake House,koa-pancake-house-kapolei,"['Breakfast & Brunch', 'Waffles']"
113,Kickin Kajun,kickin-kajun-kapolei-6,"['Cajun/Creole', 'Seafood']"
114,Ramen Bones,ramen-bones-kapolei-4,"['Noodles', 'Ramen']"
115,Assaggio - Kapolei,assaggio-kapolei-kapolei-2,"['Italian', 'Salad', 'Seafood']"
116,Hot Pot Heaven,hot-pot-heaven-kapolei-2,['Hot Pot']
117,Kapolei Korean BBQ,kapolei-korean-bbq-kapolei,"['Korean', 'Barbeque']"
118,Island Country Markets at Ko Olina,island-country-markets-at-ko-olina-kapolei-2,"['Grocery', 'Delis', 'Coffee & Tea']"
119,Sprigs Grille Restaurant,sprigs-grille-restaurant-kapolei,"['Seafood', 'New American', 'Cocktail Bars']"
120,The Hibachi,the-hibachi-kailua,"['Seafood Markets', 'Beer, Wine & Spirits', 'Hawaiian']"
121,Saigon Noodle House,saigon-noodle-house-kailua,"['Vietnamese', 'Noodles']"
122,Adela’s Country Eatery,adela-s-country-eatery-kaneohe,"['Hawaiian', 'Noodles']"
123,Kalapawai Café & Deli,kalapawai-café-and-deli-kailua-7,"['Delis', 'Wine Bars', 'Cafes']"
124,Yamas Mediterranean Cuisine,yamas-mediterranean-cuisine-kailua,"['Mediterranean', 'Greek']"
125,Paia Fish Market Kailua,paia-fish-market-kailua-kailua,"['Fish & Chips', 'Seafood', 'New American']"
126,Willow Tree Korean Restaurant,willow-tree-korean-restaurant-kailua,['Korean']
127,Uahi Island Grill,uahi-island-grill-kailua-5,"['Hawaiian', 'Asian Fusion', 'Breakfast & Brunch']"
128,Easy ‘Que,easy-que-kailua,"['Barbeque', 'Comfort Food', 'New American']"
129,Kono's Northshore,konos-northshore-kailua-3,"['Sandwiches', 'Breakfast & Brunch', 'Hawaiian']"
130,Cinnamon's Restaurant,cinnamons-restaurant-kailua,"['Pancakes', 'Hawaiian']"
131,Faria,faria-kailua,"['Portuguese', 'Sandwiches', 'Cocktail Bars']"
132,Sunset Noodle House,sunset-noodle-house-kailua,"['Ramen', 'Noodles']"
133,Gaslamp ,gaslamp-kailua,"['Jazz & Blues', 'Steakhouses', 'Seafood']"
134,Kizuna Japanese Steakhouse & Sushi,kizuna-japanese-steakhouse-and-sushi-kailua,"['Sushi Bars', 'Japanese', 'Hawaiian']"
135,Buzz's,buzzs-kailua-3,"['Steakhouses', 'Beer Bar', 'Cocktail Bars']"
136,Maui Mike's Fire-Roasted Chicken,maui-mikes-fire-roasted-chicken-kailua,"['American', 'Chicken Shop']"
137,Over Easy,over-easy-kailua,"['Breakfast & Brunch', 'Bakeries', 'Custom Cakes']"
138,New Kamana Kitchen 3,new-kamana-kitchen-3-kailua,"['Indian', 'Desserts', 'Seafood']"
139,Hot Pot Heaven - Kailua,hot-pot-heaven-kailua-kailua,['Hot Pot']
140,The Garden at Boardroom ,the-garden-at-boardroom-kailua-2,"['Beer Gardens', 'Cafes', 'Pancakes']"
141,Baci Bistro,baci-bistro-kailua,"['Italian', 'Salad', 'Soup']"
142,Nico's Kailua,nicos-kailua-kailua-2,['Seafood']
143,Goen Dining + Bar,goen-dining-bar-kailua,"['Pan Asian', 'New American', 'Hawaiian']"
144,Haleiwa Joe's At Haiku Gardens,haleiwa-joes-at-haiku-gardens-kaneohe-3,"['Seafood', 'Hawaiian', 'Cocktail Bars']"
145,Steak Rave,steak-rave-kailua,['Fast Food']
146,Kim Chee Restaurant,kim-chee-restaurant-kailua,['Korean']
147,Moke's Bread & Breakfast,mokes-bread-and-breakfast-kailua,"['Breakfast & Brunch', 'Coffee & Tea', 'Sandwiches']"
148,Casablanca,casablanca-kailua,['Moroccan']
149,Lanikai Brewing,lanikai-brewing-kailua-4,"['Brewpubs', 'Pizza', 'Cocktail Bars']"
150,Paniolos - Kailua,paniolos-kailua-kailua,['Mexican']
151,22Kailua,22kailua-kailua,"['Breakfast & Brunch', 'Sushi Bars', 'Japanese']"
152,Oh My Grill -  Kailua,oh-my-grill-kailua-kailua-3,"['Barbeque', 'Burgers', 'Breakfast & Brunch']"
153,Rai Rai Ramen,rai-rai-ramen-kailua,"['Ramen', 'Noodles']"
154,Boots & Kimo's Homestyle Kitchen,boots-and-kimos-homestyle-kitchen-kailua,"['Hawaiian', 'Breakfast & Brunch']"
155,Tanaka Ramen & Izakaya,tanaka-ramen-and-izakaya-kailua,"['Izakaya', 'Ramen', 'Desserts']"
156,The Food Company Restaurant & Catering,the-food-company-restaurant-and-catering-kailua,"['Breakfast & Brunch', 'Salad', 'Korean']"
157,Māla Market,māla-market-kailua,['Sandwiches']
158,Mahaloha Burger - Kailua,mahaloha-burger-kailua-kailua-2,"['Burgers', 'Hot Dogs', 'Fast Food']"
159,Vietnam Deli,vietnam-deli-kailua,"['Vietnamese', 'Noodles', 'Sandwiches']"
160,Ganesh Dosa,ganesh-dosa-kailua-3,['Indian']
161,Lemongrass Vietnamese & Thai Cuisine,lemongrass-vietnamese-and-thai-cuisine-kailua,"['Vietnamese', 'Thai']"
162,K and K Bar-B-Que Inn,k-and-k-bar-b-que-inn-kailua,"['Barbeque', 'Hawaiian']"
163,Island Pita,island-pita-kailua-2,"['Food Trucks', 'Mediterranean']"
164,Trejo’s Island Tacos,trejo-s-island-tacos-kailua-2,"['Mexican', 'Pop-Up Restaurants']"
165,Lilikoi Kitchen,lilikoi-kitchen-kailua-2,"['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']"
166,L&L Hawaiian Barbecue,l-and-l-hawaiian-barbecue-kailua-3,"['Barbeque', 'Hawaiian']"
167,Bowles Burritos,bowles-burritos-kailua-4,"['Mexican', 'Bars']"
168,The Dish,the-dish-kailua,"['Sports Bars', 'Hawaiian']"
169,Frank’s Franks Brooklyn Italian Food,frank-s-franks-brooklyn-italian-food-kailua-2,"['Italian', 'Food Trucks', 'Pizza']"
